Country Code,Country Name,Year,Capital Health Expenditure
PHL,Philippines,2021,0.36699748
RUS,Russian Federation,2017,0.13661347
RUS,Russian Federation,2018,0.13438486
RUS,Russian Federation,2019,0.13515124
WSM,Samoa,2017,0
WSM,Samoa,2018,0.00174416
WSM,Samoa,2019,0.01575927
WSM,Samoa,2020,0.17236899
SMR,San Marino,2017,0.13474786
SMR,San Marino,2018,0.16106416
SMR,San Marino,2019,0.16950804
SMR,San Marino,2020,0.16243468
STP,Sao Tome and Principe,2017,0.61551064
SEN,Senegal,2017,0.32684988
SEN,Senegal,2018,0.1870963
SEN,Senegal,2019,0.55649453
SEN,Senegal,2020,0.76526505
SRB,Serbia,2017,0.31177941
SRB,Serbia,2018,0.28461522
SYC,Seychelles,2017,2.64861917
SLE,Sierra Leone,2017,0.2312635
SLE,Sierra Leone,2018,0.67916507
SGP,Singapore,2017,0.30921975
SGP,Singapore,2018,0.29305571
SGP,Singapore,2019,0.27407989
SLB,Solomon Islands,2017,0.12553054
SLB,Solomon Islands,2018,0.15972695
SLB,Solomon Islands,2019,0.33535209
SLB,Solomon Islands,2020,0.13375381
SSD,South Sudan,2017,0.44426802
LKA,Sri Lanka,2017,0.33244002
LKA,Sri Lanka,2018,0.28150919
KNA,St. Kitts and Nevis,2017,0.21138583
KNA,St. Kitts and Nevis,2018,0.21144725
KNA,St. Kitts and Nevis,2019,0.30997029
KNA,St. Kitts and Nevis,2020,0.48191065
LCA,St. Lucia,2017,0.23453592
LCA,St. Lucia,2018,0.10026417
LCA,St. Lucia,2019,0.15367885
LCA,St. Lucia,2020,0.21135405
VCT,St. Vincent and the Grenadines,2017,0.23256558
VCT,St. Vincent and the Grenadines,2018,0.07917976
VCT,St. Vincent and the Grenadines,2019,0.28057367
VCT,St. Vincent and the Grenadines,2020,0.32228756
SDN,Sudan,2018,0.17232621
SWE,Sweden,2017,0.54182684
SWE,Sweden,2018,0.58761811
SWE,Sweden,2019,0.59766883
SWE,Sweden,2020,0.48069501
TJK,Tajikistan,2017,0.13300431
TJK,Tajikistan,2018,0.21660879
TJK,Tajikistan,2019,0.07518645
TJK,Tajikistan,2020,0.69915909
THA,Thailand,2017,0.22807913
THA,Thailand,2018,0.23306409
THA,Thailand,2019,0.19384837
THA,Thailand,2020,0.20093964
TLS,Timor-Leste,2017,0.4894802
TLS,Timor-Leste,2018,0.05050505
TLS,Timor-Leste,2019,0.01173709
TGO,Togo,2017,0.38820601
TGO,Togo,2018,0.46553299
TGO,Togo,2019,0.37068945
TON,Tonga,2017,0.17938122
TON,Tonga,2018,0.17383039
TON,Tonga,2019,0.16275981
TON,Tonga,2020,0.15861924
TTO,Trinidad and Tobago,2017,0.15886861
TTO,Trinidad and Tobago,2018,0.19162789
TTO,Trinidad and Tobago,2019,0.22160815
TTO,Trinidad and Tobago,2020,0.30824065
TUR,Turkiye,2017,0.30846807
TUR,Turkiye,2018,0.27231786
TUR,Turkiye,2019,0.29630437
TUR,Turkiye,2020,0.33425876
TUV,Tuvalu,2018,0.4262203
TUV,Tuvalu,2019,0.88461536
UGA,Uganda,2017,0.12383905
UGA,Uganda,2018,0.10582525
UGA,Uganda,2019,0.15757895
UKR,Ukraine,2017,0.3088249
UKR,Ukraine,2018,0.28270075
UKR,Ukraine,2019,0.27371028
UKR,Ukraine,2020,1.24912989
ARE,United Arab Emirates,2020,0.03421129
GBR,United Kingdom,2017,0.3042711
GBR,United Kingdom,2018,0.32119501
GBR,United Kingdom,2019,0.32590145
GBR,United Kingdom,2020,0.43378359
USA,United States,2017,0.66450745
USA,United States,2018,0.65776622
USA,United States,2019,0.64902151
USA,United States,2020,0.63425934
URY,Uruguay,2017,0.22498514
URY,Uruguay,2018,0.20157413
URY,Uruguay,2019,0.20949771
URY,Uruguay,2020,0.15481637
UZB,Uzbekistan,2017,0.27891243
UZB,Uzbekistan,2018,0.40021503
UZB,Uzbekistan,2019,0.07807273
UZB,Uzbekistan,2020,0.10240139
VUT,Vanuatu,2017,0.04092248
VUT,Vanuatu,2018,0.04149554
VUT,Vanuatu,2019,0.14298169
VUT,Vanuatu,2020,0.29073006
VEN,"Venezuela, RB",2017,0.00044319
VNM,Vietnam,2017,0.31951338
VNM,Vietnam,2018,0.26258859
VNM,Vietnam,2020,0.28886077
ZWE,Zimbabwe,2017,0.07580079
ZWE,Zimbabwe,2018,0.1727162
ZWE,Zimbabwe,2019,1.52644157
ZWE,Zimbabwe,2020,0.11873686
