Series Name,Series Code,Country Name,Country Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1478607,1504709,1519955,1518147,1525663,1531044
"Population, total",SP.POP.TOTL,Tunisia,TUN,11811443,11933041,12049314,12161723,12262946,12356117
"Population, total",SP.POP.TOTL,Turkiye,TUR,82089826,82809304,83481684,84135428,84775404,85341241
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5968383,6065066,6158420,6250438,6341855,6430770
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,39844,41487,43080,44276,45114,45703
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10828,10865,10956,11069,11204,11312
"Population, total",SP.POP.TOTL,Uganda,UGA,40127085,41515395,42949080,44404611,45853778,47249585
"Population, total",SP.POP.TOTL,Ukraine,UKR,44831135,44622518,44386203,44132049,43792855,38000000
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9068296,9140169,9211657,9287289,9365145,9441129
"Population, total",SP.POP.TOTL,United Kingdom,GBR,66058859,66460344,66836327,67081234,67026300,66971411
"Population, total",SP.POP.TOTL,United States of America,USA,325122128,326838199,328329953,331511512,332031554,333287557
"Population, total",SP.POP.TOTL,Uruguay,URY,3422200,3427042,3428409,3429086,3426260,3422794
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,32388600,32956100,33580350,34232050,34915100,35648100
"Population, total",SP.POP.TOTL,Vanuatu,VUT,290239,297298,304404,311685,319137,326740
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,30563433,29825653,28971683,28490453,28199867,28301696
"Population, total",SP.POP.TOTL,Vietnam,VNM,94033048,94914330,95776716,96648685,97468029,98186856
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,107281,107001,106669,106290,105870,105413
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4454805,4569087,4685306,4803269,4922749,5043612
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,30034389,30790513,31546691,32284046,32981641,33696614
"Population, total",SP.POP.TOTL,Zambia,ZMB,17298054,17835893,18380477,18927715,19473125,20017675
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,14751101,15052184,15354608,15669666,15993524,16320537
