Country Code,Country Name,Year,Cases,GDP
QAT,Qatar,2022,6315,237000000000.0
ROU,Romania,2017,475,210000000000.0
ROU,Romania,2018,1369,243000000000.0
ROU,Romania,2019,1801,251000000000.0
ROU,Romania,2020,1424,251000000000.0
ROU,Romania,2021,9,285000000000.0
ROU,Romania,2022,1381,301000000000.0
RUS,Russian Federation,2017,14635,1570000000000.0
RUS,Russian Federation,2018,15314,1660000000000.0
RUS,Russian Federation,2019,19340,1690000000000.0
RUS,Russian Federation,2020,16393,1490000000000.0
RUS,Russian Federation,2021,6112,1840000000000.0
RUS,Russian Federation,2022,14531,2240000000000.0
RWA,Rwanda,2017,10,9252833678.0
RWA,Rwanda,2018,25,9636510839.0
RWA,Rwanda,2019,50,10346675636.0
SAU,Saudi Arabia,2017,700,715000000000.0
SAU,Saudi Arabia,2018,1177,847000000000.0
SAU,Saudi Arabia,2019,2459,839000000000.0
SAU,Saudi Arabia,2020,528,734000000000.0
SAU,Saudi Arabia,2021,235,869000000000.0
SAU,Saudi Arabia,2022,1372,1110000000000.0
SEN,Senegal,2017,820,20996562959.0
SEN,Senegal,2018,480,23116701540.0
SEN,Senegal,2019,483,23403995985.0
SEN,Senegal,2020,366,24530513059.0
SEN,Senegal,2021,334,27569136728.0
SEN,Senegal,2022,497,27684430244.0
SGP,Singapore,2017,998,343000000000.0
SGP,Singapore,2018,1106,377000000000.0
SGP,Singapore,2019,1154,377000000000.0
SGP,Singapore,2020,376,348000000000.0
